iter	RMSE
552	102572.4545
553	102483.4823
554	102430.5945
555	102225.927
556	102155.5927
557	102063.1382
558	101895.3624
559	101796.7487
560	101632.1233
561	101426.3972
562	101359.9369
563	101236.6214
564	101053.9007
565	100805.9533
566	100633.8964
567	100557.9039
568	100391.0829
569	100310.5794
570	100187.7413
571	100032.2737
572	99939.11617
573	99791.60453
574	99659.60886
575	99571.96974
576	99380.62701
577	99138.85782
578	98920.1435
579	98871.9414
580	98823.96422
581	98595.32871
582	98510.36718
583	98362.02524
584	98292.79752
585	98225.68144
586	98025.99412
587	97940.82882
588	97851.7279
589	97683.29059
590	97427.76875
591	97226.48241
592	97129.72185
593	96959.52134
594	96835.28102
595	96704.16971
596	96568.36286
597	96328.84161
598	96134.16773
599	96062.7367
600	95989.73988
601	95741.64337
602	95697.50409
603	95605.54129
604	95530.02715
605	95434.67579
606	95256.93947
607	95074.24304
608	94884.12131
609	94650.07138
610	94583.0398
611	94494.10722
612	94404.02925
613	94319.5893
614	94233.59133
615	94156.22203
616	93964.5816
617	93837.96733
618	93775.11144
619	93686.32633
620	93613.76637
621	93494.93746
622	93454.21254
623	93294.21163
624	93190.52522
625	93066.39071
626	92912.47463
627	92837.45454
628	92780.39379
629	92727.35879
630	92520.427
631	92306.56575
632	92091.90154
633	92019.05767
634	91802.64035
635	91665.13822
636	91584.90851
637	91514.5112
638	91337.04485
639	91259.19347
640	91011.577
641	90939.40388
642	90784.37713
643	90733.25231
644	90543.19375
645	90447.3658
646	90388.36949
647	90306.69693
648	90237.4047
649	90151.53317
650	90085.80619
651	89903.3802
652	89852.47935
653	89707.33945
654	89654.76161
655	89582.09909
656	89497.54022
657	89385.93391
658	89323.29863
659	89112.60873
660	89049.38289
661	88976.56458
662	88742.69632
663	88579.469
664	88529.91407
665	88452.16945
666	88400.18677
667	88326.48048
668	88257.86314
669	88212.62819
670	88022.51684
671	87947.82932
672	87821.90501
673	87761.72885
674	87717.34114
675	87506.44432
676	87462.35225
677	87288.8109
678	87224.67335
679	87159.86817
680	87073.37536
681	86982.71623
682	86920.48198
683	86707.7212
684	86648.20187
685	86491.26827
686	86434.39201
687	86279.62054
688	86220.67505
689	86057.29514
690	85996.66333
691	85857.32119
692	85803.2203
693	85693.2997
694	85626.50281
695	85490.13548
696	85437.03004
697	85301.95841
698	85245.40445
699	85185.99758
700	85040.20351
701	84836.8772
702	84654.80448
703	84612.20029
704	84405.1893
705	84293.6842
706	84059.04703
707	83923.83107
708	83730.12615
709	83691.15122
710	83630.90366
711	83500.1018
712	83384.90987
713	83331.01594
714	83261.50349
715	83083.71697
716	83018.19831
717	82843.01891
718	82776.73855
719	82696.41158
720	82516.18916
721	82361.53826
722	82162.0756
723	81988.99252
724	81860.05847
725	81794.42533
726	81726.67034
727	81565.63458
728	81386.55861
729	81251.83385
730	81110.23265
731	81051.93172
732	80928.27798
733	80876.2442
734	80840.83206
735	80673.1351
736	80637.97944
737	80585.58762
738	80452.85964
739	80346.12764
740	80302.82118
741	80251.34364
742	80060.15263
743	79903.83327
